age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
48,4,153398,7,2,3,0,4,1,0,1855,50,39,0
46,4,64832,11,4,4,2,4,1,0,0,52,39,0
24,4,302709,15,2,3,0,4,1,0,0,40,39,0
43,4,84218,11,2,7,0,4,1,0,0,40,39,1
41,4,191727,15,4,3,3,4,1,0,0,44,39,0
46,4,193457,11,0,8,4,4,0,0,0,30,39,0
19,4,213036,11,4,12,3,4,0,1,0,20,39,0
23,6,154241,9,4,9,4,4,0,0,0,30,24,0
32,4,175185,9,4,10,1,4,0,0,0,60,39,1
20,4,30372,11,4,1,3,4,0,0,0,40,39,0
26,4,182352,9,2,12,5,1,0,0,0,23,39,0
46,2,180238,11,2,4,0,4,1,7436,0,40,39,1
18,4,239278,15,4,12,3,4,0,0,0,20,39,0
58,6,188908,11,2,11,0,4,1,2725,0,34,39,0
28,4,44941,15,4,13,1,4,1,7438,0,40,39,1
18,4,334694,1,4,8,3,4,0,0,0,19,39,0
44,4,196610,11,4,4,2,4,1,0,0,50,39,0
23,4,130098,9,4,7,3,4,1,0,0,40,39,0
22,4,252327,11,4,8,1,4,0,0,0,51,39,0
34,4,220443,0,4,6,4,4,1,0,0,40,4,0
36,4,670550,12,6,10,1,4,1,0,0,40,39,0
38,4,211706,11,2,13,0,4,1,0,0,50,39,0
34,4,85570,15,0,12,1,4,1,0,0,23,39,0
40,4,265661,12,5,11,4,4,0,0,0,83,39,0
43,4,190715,9,0,12,4,4,0,0,0,29,39,0
60,5,104904,15,2,4,0,4,1,0,0,60,39,1
40,4,52906,11,2,7,2,4,0,0,0,40,39,0
28,4,147498,11,2,12,0,4,1,0,0,61,39,1
49,4,178778,5,2,7,0,4,1,0,0,40,39,0
23,4,159390,15,4,8,3,4,0,0,0,40,39,0
27,4,166023,9,4,4,1,2,1,2928,0,40,39,0
33,4,115121,11,2,14,0,4,1,0,0,40,39,0
43,4,39579,7,5,4,4,4,0,1,0,35,39,1
28,4,110914,1,4,12,3,2,1,1,0,21,39,0
40,4,215574,11,4,6,3,4,1,0,0,48,39,0
34,7,185874,9,4,12,3,4,1,0,0,34,0,0
31,4,434235,11,2,6,0,4,1,0,0,51,30,1
35,4,146138,11,0,12,1,4,0,0,0,30,39,0
73,4,94748,11,2,11,0,4,1,0,0,45,39,1
41,5,188363,11,2,13,0,4,1,7425,0,40,39,1
43,4,255668,11,4,1,4,4,0,0,0,20,39,0
39,7,167876,11,2,3,0,4,1,2581,0,40,39,0
25,4,89149,11,4,12,3,2,0,0,0,40,39,0
39,4,91279,11,4,12,1,2,0,0,0,44,21,0
37,4,53292,11,4,8,1,2,0,0,0,40,39,0
25,4,174266,15,4,12,3,4,1,0,0,30,39,0
62,0,61094,11,2,0,2,1,0,0,0,40,39,0
28,4,81483,11,4,3,1,4,1,0,0,49,39,0
39,4,181934,11,2,1,0,4,0,2763,0,40,37,1
57,0,211594,0,4,0,3,4,0,0,0,20,39,0
38,4,421994,7,0,10,2,0,1,0,0,44,39,0
31,4,179675,15,4,12,4,2,1,0,0,40,39,0
19,4,100456,15,4,1,3,2,0,0,0,40,39,0
46,4,124830,11,2,3,0,4,1,0,0,66,39,0
47,4,166033,11,5,7,2,4,0,0,0,35,39,0
40,2,188566,9,2,10,0,4,1,0,0,40,39,0
38,4,88189,15,4,6,1,4,1,0,0,65,39,0
67,0,38014,0,0,0,4,4,1,0,0,12,11,0
25,4,288136,9,4,12,3,4,1,0,0,18,39,0
42,4,197668,8,5,8,4,4,0,0,0,40,39,0
17,3,275493,4,4,6,1,4,1,0,0,40,39,0
35,4,106473,1,4,12,3,4,1,0,0,18,0,0
50,2,223594,11,2,14,0,4,1,0,0,76,39,0
62,6,160823,11,2,4,0,4,1,0,0,44,39,1
34,4,157021,9,4,12,1,4,0,0,0,44,39,1
36,4,107485,5,4,6,3,4,1,0,0,16,39,0
23,4,639317,1,4,5,3,2,1,0,0,20,39,0
23,4,186153,6,4,10,1,1,0,0,0,11,17,0
36,2,168697,11,2,13,0,4,1,0,0,40,39,0
56,4,173766,9,0,12,3,4,1,0,0,11,39,0
33,0,186508,11,4,0,3,2,0,0,0,9,39,0
45,4,102838,11,4,12,1,1,1,39135,0,60,39,0
18,4,304342,13,5,3,2,4,1,0,0,40,26,0
19,4,119961,15,4,12,3,4,0,0,0,20,39,0
19,4,172377,11,4,8,3,4,0,0,0,32,39,0
45,4,122030,11,4,14,1,4,0,39102,0,44,39,1
22,4,155991,9,2,3,0,4,1,4,0,50,39,0
36,0,259335,9,4,0,3,2,1,0,0,30,39,0
82,4,115600,7,4,12,3,4,0,0,0,20,39,0
21,2,269452,9,2,4,0,4,1,0,0,60,39,0
19,4,299651,11,4,8,3,4,1,0,0,40,39,0
40,4,192489,15,2,7,0,4,1,4715,0,40,39,1
38,4,33742,7,0,8,4,4,1,0,0,9,39,0
29,4,339764,12,4,10,1,4,1,0,0,50,21,0
45,4,58784,8,4,7,1,2,0,0,0,40,39,0
49,4,160474,8,2,12,5,4,0,0,0,40,39,1
55,4,229325,1,2,7,0,4,1,0,0,18,3,1
58,4,137282,8,6,10,1,4,0,0,0,22,39,0
52,4,134827,9,2,12,5,2,1,0,0,20,39,1
19,4,63420,15,4,6,3,4,1,0,0,19,39,0
17,4,189208,8,4,6,3,4,1,0,0,15,39,0
24,6,38227,9,4,12,1,4,1,0,0,59,39,0
47,4,151445,11,2,7,0,4,1,14775,0,60,39,0
23,4,195063,0,4,6,3,4,1,0,0,40,39,0
65,0,51122,11,4,0,3,4,0,9,0,22,39,0
47,4,155920,9,2,4,0,4,1,0,0,40,26,1
20,4,312687,15,4,8,3,4,1,0,0,19,39,0
57,4,372171,5,5,12,4,4,1,0,0,34,39,0
32,4,433918,9,2,3,0,4,1,0,1856,40,39,0
49,4,162143,12,0,3,1,4,1,0,0,53,11,0
54,0,271566,5,2,0,0,4,1,0,0,36,39,1
44,6,204584,11,2,4,0,4,1,0,1861,50,39,0
35,4,106127,11,2,4,0,4,1,0,0,40,39,1
51,4,141609,7,4,12,4,4,1,0,0,53,39,1
36,4,141617,15,4,12,2,2,0,0,0,33,36,0
72,2,253041,9,2,10,0,0,0,0,0,36,39,1
32,4,276493,15,4,8,3,4,1,0,0,19,39,0
29,4,109975,11,2,7,0,4,1,0,0,40,39,0
44,4,249447,5,2,7,0,4,1,7421,0,44,39,1
36,4,400689,7,2,5,0,4,1,39133,0,44,39,1
17,4,237763,1,4,12,3,2,0,0,0,30,39,0
49,1,212660,9,2,11,0,4,1,3,0,50,39,1
29,4,69673,9,4,4,2,4,1,0,0,40,29,0
37,2,170205,9,4,11,4,0,0,0,0,40,39,0
34,0,59917,15,4,0,1,4,0,0,0,21,39,0
45,4,146667,12,0,12,1,4,0,0,0,44,39,0
28,4,212381,0,4,3,3,4,1,0,0,49,39,0
29,4,543097,9,4,1,1,4,1,1,0,59,39,0
25,1,156403,9,2,1,2,4,1,0,0,24,39,0
36,4,173971,12,2,4,0,1,1,39149,0,40,19,1
19,4,210792,15,2,4,3,4,1,0,0,40,39,0
31,4,176245,11,4,8,3,2,1,0,0,37,39,0
22,4,257550,9,4,12,1,2,1,0,0,40,39,0
46,7,197464,9,2,4,0,4,1,2,0,60,39,1
19,4,197851,0,4,6,3,0,1,0,0,20,39,0
34,4,42209,15,2,1,0,4,0,0,0,40,39,1
18,4,121064,15,4,12,3,4,0,0,0,18,39,0
48,4,155804,9,2,8,0,4,1,1,0,50,26,1
42,4,239837,9,2,4,0,4,1,0,2098,78,39,1
35,4,302400,11,2,8,2,4,0,0,0,32,39,0
30,4,176984,11,4,7,1,4,1,0,0,40,39,0
26,2,373131,9,2,5,0,2,1,0,0,60,39,1
32,4,121843,9,2,12,0,4,1,14762,0,60,39,0
52,4,265786,11,2,7,0,4,1,0,0,40,39,0
45,2,123452,12,0,10,1,4,1,0,0,49,39,0
24,4,75265,11,4,12,3,4,1,0,0,14,39,0
57,4,554290,11,2,14,0,4,1,0,0,76,39,0
25,4,395584,15,5,13,1,4,1,0,0,40,39,1
26,4,35741,9,4,12,3,4,1,0,0,40,39,0
27,2,224406,12,4,4,1,4,0,0,0,40,39,0
48,4,224933,12,2,10,5,4,0,1,0,40,11,1
50,4,139630,12,2,10,0,4,1,0,0,53,39,1
46,4,31097,8,4,14,3,2,1,0,0,40,39,0
34,4,61514,9,4,12,1,4,0,0,0,52,39,0
18,4,60937,11,4,8,3,2,0,0,0,40,39,0
34,4,148105,12,2,1,5,2,0,0,1855,40,39,0
46,4,156496,11,2,6,0,4,1,0,0,40,39,1
45,4,263203,11,2,10,0,4,1,0,0,99,39,1
61,2,152466,9,4,10,1,4,0,0,0,60,39,0
59,4,166148,11,0,7,1,4,0,0,0,40,39,0
26,4,153784,7,0,6,1,4,1,0,0,50,39,0
40,4,153193,7,2,4,0,4,1,0,0,40,39,0
44,4,211074,11,2,1,5,4,0,0,0,40,39,1
48,4,133627,11,2,3,2,4,1,3,0,40,39,0
19,4,67100,1,4,12,3,2,0,0,0,40,39,0
33,4,120286,8,6,1,4,4,0,0,1863,31,39,0
24,4,251343,15,4,1,5,4,0,0,0,40,39,0
41,4,186406,7,2,3,1,4,1,4735,0,40,39,0
24,4,306018,5,2,8,0,4,1,0,0,40,39,0
43,4,161030,11,2,8,0,4,1,0,0,44,39,0
58,6,176272,11,2,4,0,4,1,0,0,40,39,1
51,2,37660,8,2,8,0,0,1,7418,0,99,39,1
36,7,373724,10,2,10,0,4,1,0,0,40,39,1
28,4,32909,1,4,8,3,4,0,0,0,20,39,0
51,4,184581,11,0,3,1,4,1,0,0,40,39,0
37,4,160162,9,0,12,1,4,0,0,0,31,39,0
38,4,155777,9,0,5,2,4,0,0,0,50,39,0
43,4,206253,11,4,10,5,4,0,0,0,51,39,0
53,4,100529,7,0,8,1,4,1,0,0,35,39,0
57,5,186937,11,2,8,0,4,1,0,0,54,39,0
19,4,209859,15,4,8,3,4,1,0,0,18,39,0
43,4,144348,10,2,4,0,4,1,0,0,49,39,0
46,4,197754,15,4,1,3,4,1,0,0,42,39,0
37,4,102109,11,4,7,3,4,0,0,0,40,39,0
19,0,31262,11,4,0,3,0,0,0,0,40,39,0
25,4,191984,11,0,8,1,4,0,0,0,99,39,0
28,4,115078,4,4,12,3,4,1,0,0,30,26,0
31,4,198756,11,2,14,0,4,1,0,0,40,39,0
51,4,164638,11,2,8,0,4,1,0,0,33,39,0
45,4,101438,12,0,10,1,0,0,0,0,26,39,0
61,4,223567,1,6,1,2,4,0,0,0,40,39,0
58,4,120309,11,5,13,2,4,0,0,0,40,39,0
41,7,74005,9,2,1,0,4,1,0,0,60,39,1
23,4,80440,11,4,12,3,2,1,0,0,40,39,0
25,4,24389,15,4,12,1,4,0,0,0,44,39,0
54,4,120295,11,4,7,3,4,0,0,0,40,39,0
28,4,157302,15,2,5,2,4,1,0,0,17,39,0
53,4,160101,9,2,12,0,4,0,0,0,52,26,0
35,4,108020,11,0,12,1,4,0,0,0,40,39,0
54,4,479761,15,2,11,0,4,1,7559,0,60,39,1
61,1,55268,9,2,10,0,0,1,1,0,60,39,1
44,4,181548,11,0,1,5,4,0,0,0,50,39,0
43,4,81481,11,4,12,1,4,1,0,0,19,39,0
28,4,375961,9,4,1,4,4,0,0,0,20,39,0
24,4,184103,11,4,6,1,4,1,0,0,50,39,0
24,4,167615,11,2,10,0,4,1,0,0,50,39,1
48,4,184080,5,0,12,1,4,0,0,0,33,39,0
34,2,186440,12,2,10,0,4,1,0,0,40,39,1
53,4,265387,13,0,1,1,4,0,0,1609,40,39,0
44,4,95606,11,2,3,0,4,1,1,0,40,39,0
24,4,320171,1,4,8,3,4,0,0,0,40,39,0
45,4,229795,9,2,4,0,4,1,0,0,50,39,1
26,4,585857,4,4,1,4,1,0,0,0,40,30,0
32,6,76895,9,0,4,4,0,0,0,0,30,39,0
26,4,170819,11,2,4,0,4,1,0,0,49,39,0
42,2,221756,12,2,10,0,4,1,0,0,60,39,1
18,4,293377,15,4,8,3,4,1,0,0,19,39,0
31,4,54941,15,4,12,1,2,0,0,0,21,39,0
28,4,197163,15,4,3,3,4,1,0,0,40,39,0
44,2,180615,9,0,1,4,4,0,0,0,35,39,0
44,4,145804,9,0,10,1,4,0,0,0,40,39,0
41,6,141210,9,2,12,0,4,1,0,0,60,39,0
29,1,109815,11,2,3,2,4,1,0,0,40,39,0
48,0,206067,8,4,0,1,4,0,0,0,20,39,0
38,4,136280,11,2,7,0,4,1,0,0,40,3,1
31,7,161857,11,4,0,2,4,1,0,0,40,39,0
34,6,107020,11,5,3,2,2,1,0,0,61,0,0
28,4,198490,0,4,1,2,4,1,0,0,40,39,0
20,0,192640,11,6,0,1,4,0,0,0,20,39,0
26,4,193373,11,4,4,3,4,0,14783,0,53,39,1
39,4,69524,9,4,1,1,4,0,0,0,40,39,0
48,2,160260,2,3,8,4,4,0,0,0,22,39,0
59,4,222172,1,2,6,3,4,1,2555,0,45,39,0
35,4,206496,12,4,4,0,4,1,0,0,40,20,0
22,7,207242,15,4,10,2,4,1,0,0,18,39,0
41,5,133256,9,2,10,5,4,0,0,0,50,39,1
34,2,229657,8,4,8,1,4,0,0,0,73,39,0
50,2,188657,11,4,11,3,4,1,0,0,40,39,0
24,4,114746,8,0,7,1,4,0,0,0,40,39,0
19,4,146986,1,4,1,3,4,1,0,0,40,39,0
33,4,169051,9,4,12,3,1,1,0,0,10,11,1
26,4,138228,11,4,3,1,4,1,0,0,47,39,0
42,4,232040,11,4,4,4,4,0,0,0,36,39,0
35,4,96809,9,4,12,3,4,1,0,0,21,39,0
35,0,31204,15,4,0,3,2,0,0,0,31,32,0
55,4,230380,11,2,1,0,4,1,0,0,40,39,1
54,2,198301,15,2,0,0,4,1,0,0,25,39,0
71,6,160858,8,2,4,0,4,1,4725,0,40,39,1
22,4,73039,15,4,6,3,4,1,0,0,20,39,0
39,1,227358,9,2,4,0,4,1,0,0,40,39,1
47,4,167977,11,2,3,0,4,1,7425,0,40,39,1
37,4,131141,11,2,12,0,4,1,0,0,74,39,0
63,6,71585,11,2,4,0,4,1,0,0,50,39,0
38,4,163228,11,6,12,3,4,0,0,0,35,39,0
48,4,161929,9,4,8,1,4,1,0,0,30,26,0
24,4,45863,15,4,1,3,4,0,0,0,30,39,0
58,6,84955,11,2,4,0,4,1,0,0,45,39,0
38,4,353817,9,2,12,0,4,1,0,0,44,39,1
30,4,124063,15,5,14,2,0,1,0,0,47,39,0
68,0,160330,11,2,0,2,4,1,0,0,99,39,0
28,4,22775,9,0,1,1,4,0,0,1863,40,39,0
38,4,498234,15,5,13,4,0,0,0,0,60,39,0
52,4,226372,11,2,6,0,4,1,0,0,75,39,0
18,4,47944,15,4,12,3,4,0,0,0,26,39,0
38,2,146937,12,0,1,1,4,0,0,0,44,27,0
41,2,142541,15,0,10,2,4,0,0,0,40,39,0
43,4,283140,11,2,12,0,4,1,0,0,44,39,0
40,4,571953,11,0,3,1,4,1,0,0,40,39,0
53,4,167025,7,0,7,2,4,1,0,0,40,39,1
39,4,171999,11,0,4,2,4,1,0,0,43,39,0
45,2,144635,15,4,13,1,4,0,0,1871,30,39,0
32,6,92199,9,2,11,0,4,1,0,0,60,39,1
52,4,66053,11,0,5,2,0,0,0,1862,40,39,0
25,4,72726,11,4,12,1,4,1,0,1855,30,39,0
42,2,120685,11,0,10,5,0,0,0,0,21,39,1
59,2,143574,7,2,13,0,4,1,7443,0,99,39,1
31,4,209536,11,0,3,1,4,1,0,0,29,39,0
28,1,141129,11,2,11,2,4,1,0,0,40,39,0
22,4,194677,11,2,12,0,4,1,0,0,77,39,0
45,4,114922,9,5,12,4,4,0,0,0,34,39,1
18,0,219751,11,4,0,1,4,1,0,0,30,39,0
37,4,451364,11,5,7,4,4,0,0,0,40,39,0
24,4,151544,11,4,8,2,4,1,0,0,30,39,0
41,4,38207,15,2,3,0,4,1,0,0,60,39,0
20,4,74927,15,4,12,3,4,0,0,0,18,39,0
25,4,194149,11,4,1,1,4,0,0,0,40,39,0
41,4,152544,15,2,4,5,4,0,0,0,55,39,0
43,4,217573,15,2,12,2,1,1,0,0,51,39,1
36,4,117252,12,0,4,1,4,0,0,0,40,39,0
46,2,238176,9,2,11,0,4,1,0,0,40,39,0
34,4,116785,15,4,12,3,4,0,0,0,10,39,1
37,2,288072,9,2,10,0,4,0,0,0,40,39,0
28,4,73431,0,4,11,3,2,1,0,0,40,39,0
37,4,23163,11,4,5,3,4,1,0,0,30,39,0
43,4,156623,11,2,8,0,4,1,0,0,40,39,0
40,2,45114,9,2,11,0,4,1,0,0,35,39,0
60,6,154714,11,2,12,0,1,1,0,0,26,5,1
45,4,358936,15,2,1,0,4,1,0,0,50,39,0
23,4,188902,9,4,6,1,4,1,0,0,48,39,0
45,6,131884,9,2,11,0,4,1,1,0,60,39,1
42,4,77732,11,2,4,0,4,1,0,0,76,39,0
38,4,142193,15,4,12,1,4,0,0,0,21,39,0
49,4,90573,11,2,3,0,4,1,0,0,60,39,0
41,4,222178,9,6,4,1,4,0,0,0,53,39,0
46,7,135062,12,2,10,0,4,1,0,0,40,39,1
28,4,188373,11,4,14,1,4,0,2753,0,40,39,0
44,4,194005,11,0,1,4,2,0,0,0,40,39,1
35,4,58499,8,4,14,1,4,0,0,0,40,39,0
41,4,239104,11,2,3,0,4,1,0,0,40,40,0
56,4,68909,11,0,12,4,4,0,0,0,50,10,0
39,6,97199,11,2,4,0,4,1,4759,0,40,39,0
40,4,504324,11,5,1,2,4,0,0,0,34,39,0
22,4,225551,15,0,6,1,4,1,0,0,50,39,0
23,4,52169,11,2,8,0,4,1,0,0,40,3,0
63,6,133044,7,6,10,1,4,0,0,0,40,39,0
33,4,109685,8,6,7,2,4,1,0,0,40,17,0
22,4,62736,0,4,12,1,4,1,0,0,40,39,0
66,4,41161,12,6,10,4,0,0,0,0,36,39,0
38,4,149015,8,2,12,0,4,1,0,0,44,39,1
62,4,122870,11,4,4,3,4,1,0,0,30,39,0
47,2,31842,5,5,11,4,4,1,0,0,40,26,0
45,4,235090,12,0,10,1,4,1,0,0,60,0,0
57,4,116862,11,4,4,3,4,1,0,0,14,39,0
47,4,110020,7,0,3,4,4,1,0,0,70,39,0
37,2,84036,9,6,10,4,2,0,0,0,33,11,0
33,4,165221,9,2,4,0,4,1,0,0,40,39,0
47,2,195595,11,2,11,0,4,1,2973,0,44,39,0
33,2,150929,9,2,10,0,4,1,0,0,50,39,1
